Date,SPY,AMZN
25/09/2020,312.143158,154.7565
28/09/2020,317.327576,158.702499
29/09/2020,315.599396,157.244003
30/09/2020,317.99231,157.436493
1/10/2020,320.033813,161.063004
2/10/2020,316.995209,156.25
5/10/2020,322.616577,159.960007
6/10/2020,318.030304,154.998001
7/10/2020,323.566101,159.7845
8/10/2020,326.433716,159.527496
9/10/2020,329.348846,164.332504
12/10/2020,334.647217,172.1465
13/10/2020,332.463318,172.181503
14/10/2020,330.374268,168.185501
15/10/2020,329.966064,166.932495
16/10/2020,329.766602,163.635498
19/10/2020,324.753082,160.360504
20/10/2020,326.053894,160.850494
21/10/2020,325.436737,159.246994
22/10/2020,327.221863,158.820007
23/10/2020,328.332825,160.220001
26/10/2020,322.265228,160.352005
27/10/2020,321.154297,164.316498
28/10/2020,310.177551,158.139008
29/10/2020,313.330078,160.550507
30/10/2020,310.063568,151.807495
2/11/2020,313.538879,150.223999
3/11/2020,319.074829,152.420502
4/11/2020,326.205811,162.057999
5/11/2020,332.567688,166.100006
6/11/2020,332.491821,165.568497
9/11/2020,336.6698,157.186996
10/11/2020,336.176025,151.751007
11/11/2020,338.67337,156.869507
12/11/2020,335.387848,155.514008
13/11/2020,340.031158,156.440506
16/11/2020,344.275604,156.552994
17/11/2020,342.424011,156.783005
18/11/2020,338.302979,155.272995
19/11/2020,339.727325,155.850998
20/11/2020,337.400909,154.970001
23/11/2020,339.423462,154.919495
24/11/2020,344.892883,155.903
25/11/2020,344.361115,159.253494
27/11/2020,345.320129,159.766998
30/11/2020,343.791321,158.401993
1/12/2020,347.551575,161.003998
2/12/2020,348.282684,160.176498
3/12/2020,348.187714,159.336502
4/12/2020,351.188293,158.128998
7/12/2020,350.466614,157.899994
8/12/2020,351.492157,158.864502
9/12/2020,348.33963,155.210007
10/12/2020,348.225708,155.074493
11/12/2020,347.817413,155.820999
14/12/2020,346.260162,157.848495
15/12/2020,350.941406,158.255997
16/12/2020,351.492157,162.048004
17/12/2020,353.457642,161.804001
18/12/2020,352.046387,160.082504
21/12/2020,350.787628,160.309006
22/12/2020,350.196381,160.326004
23/12/2020,350.511108,159.263504
24/12/2020,351.874756,158.634506
28/12/2020,354.897583,164.197998
29/12/2020,354.22052,166.100006
30/12/2020,354.725922,164.292496
31/12/2020,356.528229,162.846497
4/01/2021,351.674469,159.331497
5/01/2021,354.096558,160.925507
6/01/2021,356.213531,156.919006
7/01/2021,361.505951,158.108002
8/01/2021,363.565765,159.134995
11/01/2021,361.115021,155.710495
12/01/2021,361.191345,156.041504
13/01/2021,362.164001,158.294495
14/01/2021,360.89566,156.373505
15/01/2021,358.263794,155.212494
19/01/2021,361.076874,156.037994
20/01/2021,366.0737,163.169006
21/01/2021,366.40741,165.349503
22/01/2021,365.110596,164.611496
25/01/2021,366.550507,164.699997
26/01/2021,365.978333,166.306503
27/01/2021,357.033661,161.628998
28/01/2021,360.104218,161.880997
29/01/2021,352.895081,160.309998
1/02/2021,358.769196,167.143997
2/02/2021,363.842224,169
3/02/2021,364.128357,165.626495
4/02/2021,368.266937,166.550003
5/02/2021,369.71637,167.607498
8/02/2021,372.386444,166.147003
9/02/2021,372.138489,165.25
10/02/2021,371.97641,164.328995
11/02/2021,372.577148,163.106506
12/02/2021,374.417603,163.885498
16/02/2021,374.093353,163.447495
17/02/2021,374.179199,165.432007
18/02/2021,372.586731,166.411499
19/02/2021,371.928772,162.494995
22/02/2021,369.067932,159.037003
23/02/2021,369.516144,159.725006
24/02/2021,373.587982,157.976501
25/02/2021,364.586121,152.858002
26/02/2021,362.70752,154.6465
1/03/2021,371.499603,157.307007
2/03/2021,368.600677,154.726501
3/03/2021,363.718292,150.25
4/03/2021,359.217438,148.878494
5/03/2021,365.825775,150.022995
8/03/2021,364.004395,147.597504
9/03/2021,369.201508,153.142502
10/03/2021,371.499603,152.882004
11/03/2021,375.266266,155.679504
12/03/2021,375.771667,154.474503
15/03/2021,378.012634,154.084
16/03/2021,377.535858,154.593002
17/03/2021,378.823181,156.786499
18/03/2021,373.311462,151.399506
19/03/2021,372.620728,153.748001
22/03/2021,375.596069,155.543503
23/03/2021,372.639832,156.875
24/03/2021,370.745483,154.3535
25/03/2021,372.831177,152.313004
26/03/2021,378.839355,152.601501
29/03/2021,378.647949,153.786499
30/03/2021,377.643463,152.764496
31/03/2021,379.174164,154.703995
1/04/2021,383.26889,158.050003
5/04/2021,388.77002,161.336502
6/04/2021,388.540405,161.190994
7/04/2021,388.990082,163.969498
8/04/2021,390.836487,164.964996
9/04/2021,393.678009,168.610001
12/04/2021,393.821472,168.969498
13/04/2021,394.988647,170
14/04/2021,393.63974,166.649994
15/04/2021,397.868317,168.954498
16/04/2021,399.198212,169.972
19/04/2021,397.236938,168.600494
20/04/2021,394.328491,166.734497
21/04/2021,398.059723,168.100998
22/04/2021,394.424194,165.451996
23/04/2021,398.700684,167.044006
26/04/2021,399.533081,170.449997
27/04/2021,399.446899,170.871506
28/04/2021,399.332092,172.925003
29/04/2021,401.877014,173.565506
30/04/2021,399.236481,173.371002
3/05/2021,400.097534,169.324493
4/05/2021,397.629181,165.593506
5/05/2021,397.753601,163.526993
6/05/2021,400.92984,165.318497
7/05/2021,403.847778,164.580505
10/05/2021,399.848816,159.524506
11/05/2021,396.280182,161.195496
12/05/2021,387.861176,157.597
13/05/2021,392.520386,158.073502
14/05/2021,398.547607,161.145004
17/05/2021,397.533508,163.519501
18/05/2021,394.108521,161.613998
19/05/2021,393.075226,161.589996
20/05/2021,397.303925,162.384003
21/05/2021,396.978638,160.154007
24/05/2021,401.025543,162.249496
25/05/2021,400.135712,162.952499
26/05/2021,400.92984,163.257996
27/05/2021,401.140289,161.505493
28/05/2021,401.85788,161.153503
1/06/2021,401.503937,160.932495
2/06/2021,402.135254,161.699493
3/06/2021,400.642883,159.350494
4/06/2021,404.307068,160.311005
7/06/2021,403.914795,159.900497
8/06/2021,404.000885,163.205505
9/06/2021,403.398163,164.057495
10/06/2021,405.273346,167.482498
11/06/2021,405.943085,167.341507
14/06/2021,406.851959,169.193497
15/06/2021,406.105652,169.156494
16/06/2021,403.838257,170.762497
17/06/2021,403.704285,174.462006
18/06/2021,398.258179,174.345001
21/06/2021,403.959595,172.697998
22/06/2021,406.119263,175.272003
23/06/2021,405.629791,175.190994
24/06/2021,408.029388,172.453995
25/06/2021,409.478729,170.072998
28/06/2021,410.304199,172.194504
29/06/2021,410.524994,172.406998
30/06/2021,410.870544,172.007996
1/07/2021,413.145294,171.648499
2/07/2021,416.303192,175.548996
6/07/2021,415.544952,183.787003
7/07/2021,417.013458,184.828995
8/07/2021,413.615692,186.570496
9/07/2021,418.030914,185.966995
12/07/2021,419.528229,185.927505
13/07/2021,418.098114,183.867996
14/07/2021,418.721954,184.084
15/07/2021,417.291809,181.559998
16/07/2021,414.018768,178.681503
19/07/2021,407.904602,177.479507
20/07/2021,413.75,178.6595
21/07/2021,417.099915,179.259995
22/07/2021,417.973358,181.901505
23/07/2021,422.273468,182.832001
26/07/2021,423.310059,184.990997
27/07/2021,421.380768,181.319504
28/07/2021,421.208008,181.516006
29/07/2021,422.954895,179.996002
30/07/2021,420.900879,166.379501
2/08/2021,420.017761,166.574005
3/08/2021,423.434784,168.311996
4/08/2021,421.35199,167.735992
5/08/2021,424.020386,168.7995
6/08/2021,424.721008,167.246994
9/08/2021,424.375427,167.093506
10/08/2021,424.903381,166.033997
11/08/2021,425.959198,164.605499
12/08/2021,427.23584,165.175003
13/08/2021,428.013275,164.698502
16/08/2021,429.021118,164.949493
17/08/2021,426.208801,162.098007
18/08/2021,421.543945,160.061005
19/08/2021,422.196625,159.387497
20/08/2021,425.556122,159.997498
23/08/2021,429.299561,163.293503
24/08/2021,429.981018,165.289001
25/08/2021,430.88327,164.959
26/08/2021,428.339661,165.800003
27/08/2021,432.169434,167.481506
30/08/2021,434.069916,171.078506
31/08/2021,433.426819,173.539505
1/09/2021,433.657166,173.949997
2/09/2021,434.991364,173.156006
3/09/2021,434.885773,173.902496
7/09/2021,433.330841,175.464493
8/09/2021,432.802887,176.274994
9/09/2021,430.950409,174.207993
10/09/2021,427.552551,173.457504
13/09/2021,428.646759,172.858505
14/09/2021,426.333618,172.5
15/09/2021,429.894592,173.789505
16/09/2021,429.213135,174.412003
17/09/2021,425.032104,173.126007
20/09/2021,417.945007,167.786499
21/09/2021,417.550262,167.181503
22/09/2021,421.623383,169.002502
23/09/2021,426.746063,170.800003
24/09/2021,427.449005,171.276001
27/09/2021,426.226166,170.289993
28/09/2021,417.636902,165.798004
29/09/2021,418.339844,165.056
30/09/2021,413.226746,164.251999
1/10/2021,418.137573,164.162994
4/10/2021,412.745331,159.488998
5/10/2021,417.039856,161.050003
6/10/2021,418.773132,163.100494
7/10/2021,422.393707,165.121506
8/10/2021,421.623383,164.431
11/10/2021,418.570923,162.315002
12/10/2021,417.540619,162.366501
13/10/2021,419.042755,164.214005
14/10/2021,426.091309,164.992996
15/10/2021,429.336334,170.451004
18/10/2021,430.607391,172.337006
19/10/2021,433.929535,172.207504
20/10/2021,435.63385,170.753006
21/10/2021,436.770081,171.750504
22/10/2021,436.317505,166.777496
25/10/2021,438.657379,166.018494
26/10/2021,439.052246,168.803497
27/10/2021,437.107086,169.624496
28/10/2021,441.324707,172.328506
29/10/2021,442.220215,168.621506
1/11/2021,442.980957,165.905502
2/11/2021,444.771912,165.637497
3/11/2021,447.487396,169.199997
4/11/2021,449.59613,173.850006
5/11/2021,451.156128,175.949493
8/11/2021,451.54129,174.449005
9/11/2021,450.048737,178.811493
10/11/2021,446.428162,174.102493
11/11/2021,446.572601,173.625
12/11/2021,449.942841,176.257507
15/11/2021,450.096863,177.283997
16/11/2021,451.878265,177.035004
17/11/2021,450.780579,177.449997
